MOI,variant,replicate,GFP intensity
1000000,AAV9,1,4807.08
100000,AAV9,1,3300.7
3333,AAV9,1,2857.1
1111,AAV9,1,2091.2
370,AAV9,1,2169.69
123,AAV9,1,386.07
31,AAV9,1,0.0
10,AAV9,1,0.0
1,AAV9,1,0.0
1000000,AAV9,2,4904.48
100000,AAV9,2,3041.98
10000,AAV9,2,2542.93
3333,AAV9,2,2363.39
1111,AAV9,2,4160.82
370,AAV9,2,363.58
123,AAV9,2,1986.58
31,AAV9,2,130.78
10,AAV9,2,0.0
1,AAV9,2,0.0
1000000,AAV9,3,4663.07
100000,AAV9,3,2796.22
10000,AAV9,3,2542.52
3333,AAV9,3,2247.91
1111,AAV9,3,1420.57
370,AAV9,3,987.29
123,AAV9,3,296.08
31,AAV9,3,631.69
10,AAV9,3,733.37
1,AAV9,3,0.0
1000000,CAP-Mac,1,4728.75
100000,CAP-Mac,1,4899.12
10000,CAP-Mac,1,4008.02
3333,CAP-Mac,1,3159.16
1111,CAP-Mac,1,2400.28
370,CAP-Mac,1,2721.23
123,CAP-Mac,1,2669.64
62,CAP-Mac,1,2709.85
31,CAP-Mac,1,3226.44
10,CAP-Mac,1,3110.19
1,CAP-Mac,1,0.0
1000000,CAP-Mac,2,5045.94
100000,CAP-Mac,2,4837.84
10000,CAP-Mac,2,3988.7
3333,CAP-Mac,2,2927.52
1111,CAP-Mac,2,2276.2
370,CAP-Mac,2,2629.32
123,CAP-Mac,2,2773.63
62,CAP-Mac,2,2862.76
31,CAP-Mac,2,1934.26
10,CAP-Mac,2,2418.82
1,CAP-Mac,2,0.0
1000000,CAP-Mac,3,4927.27
100000,CAP-Mac,3,4730.89
10000,CAP-Mac,3,3795.67
3333,CAP-Mac,3,2795.03
1111,CAP-Mac,3,2420.14
370,CAP-Mac,3,2616.68
123,CAP-Mac,3,2912.34
62,CAP-Mac,3,2910.55
31,CAP-Mac,3,2761.31
10,CAP-Mac,3,2295.14
1,CAP-Mac,3,0.0
